instance_type,vcpu,memory_mib,price_per_hour,max_pods
m6g.12xlarge,48,196608,1.8480000000,234
m6g.16xlarge,64,262144,2.4640000000,737
m6g.2xlarge,8,32768,0.3080000000,58
m6g.4xlarge,16,65536,0.6160000000,234
m6g.8xlarge,32,131072,1.2320000000,234
m6g.large,2,8192,0.0770000000,29
m6g.medium,1,4096,0.0385000000,8
m6g.metal,64,262144,2.4640000000,737
m6g.xlarge,4,16384,0.1540000000,58
m6gd.12xlarge,48,196608,2.1696000000,234
m6gd.16xlarge,64,262144,2.8928000000,737
m6gd.2xlarge,8,32768,0.3616000000,58
m6gd.4xlarge,16,65536,0.7232000000,234
m6gd.8xlarge,32,131072,1.4464000000,234
m6gd.large,2,8192,0.0904000000,29
m6gd.medium,1,4096,0.0452000000,8
m6gd.metal,64,262144,2.8928000000,737
m6gd.xlarge,4,16384,0.1808000000,58
m6i.12xlarge,48,196608,2.3040000000,234
m6i.16xlarge,64,262144,3.0720000000,737
m6i.24xlarge,96,393216,4.6080000000,737
m6i.2xlarge,8,32768,0.3840000000,58
m6i.32xlarge,128,524288,6.1440000000,737
m6i.4xlarge,16,65536,0.7680000000,234
m6i.8xlarge,32,131072,1.5360000000,234
m6i.large,2,8192,0.0960000000,29
m6i.metal,128,524288,6.1440000000,737
m6i.xlarge,4,16384,0.1920000000,58
m6id.12xlarge,48,196608,2.8476000000,234
m6id.16xlarge,64,262144,3.7968000000,737
m6id.24xlarge,96,393216,5.6952000000,737
m6id.2xlarge,8,32768,0.4746000000,58
m6id.32xlarge,128,524288,7.5936000000,737
m6id.4xlarge,16,65536,0.9492000000,234
m6id.8xlarge,32,131072,1.8984000000,234
m6id.large,2,8192,0.1186500000,29
m6id.metal,128,524288,7.5936000000,737
m6id.xlarge,4,16384,0.2373000000,58
m6idn.12xlarge,48,196608,3.8188800000,234
m6idn.16xlarge,64,262144,5.0918400000,737
m6idn.24xlarge,96,393216,7.6377600000,737
m6idn.2xlarge,8,32768,0.6364800000,58
m6idn.32xlarge,128,524288,10.1836800000,786
m6idn.4xlarge,16,65536,1.2729600000,234
m6idn.8xlarge,32,131072,2.5459200000,234
m6idn.large,2,8192,0.1591200000,29
m6idn.metal,128,524288,10.1836800000,786
m6idn.xlarge,4,16384,0.3182400000,58
m6in.12xlarge,48,196608,3.3415200000,234
m6in.16xlarge,64,262144,4.4553600000,737
m6in.24xlarge,96,393216,6.6830400000,737
m6in.2xlarge,8,32768,0.5569200000,58
m6in.32xlarge,128,524288,8.9107200000,786
m6in.4xlarge,16,65536,1.1138400000,234
m6in.8xlarge,32,131072,2.2276800000,234
m6in.large,2,8192,0.1392300000,29
m6in.metal,128,524288,8.9107200000,786
m6in.xlarge,4,16384,0.2784600000,58
m7a.12xlarge,48,196608,2.7820800000,234
m7a.16xlarge,64,262144,3.7094400000,737
m7a.24xlarge,96,393216,5.5641600000,737
m7a.2xlarge,8,32768,0.4636800000,58
m7a.32xlarge,128,524288,7.4188800000,737
m7a.48xlarge,192,786432,11.1283200000,737
m7a.4xlarge,16,65536,0.9273600000,234
m7a.8xlarge,32,131072,1.8547200000,234
m7a.large,2,8192,0.1159200000,29
m7a.medium,1,4096,0.0579600000,8
m7a.metal-48xl,192,786432,11.1283200000,737
m7a.xlarge,4,16384,0.2318400000,58
m7g.12xlarge,48,196608,1.9584000000,234
m7g.16xlarge,64,262144,2.6112000000,737
m7g.2xlarge,8,32768,0.3264000000,58
m7g.4xlarge,16,65536,0.6528000000,234
m7g.8xlarge,32,131072,1.3056000000,234
m7g.large,2,8192,0.0816000000,29
m7g.medium,1,4096,0.0408000000,8
m7g.metal,64,262144,2.6112000000,737
m7g.xlarge,4,16384,0.1632000000,58
m7gd.12xlarge,48,196608,2.5628000000,234
m7gd.16xlarge,64,262144,3.4171000000,737
m7gd.2xlarge,8,32768,0.4271000000,58
m7gd.4xlarge,16,65536,0.8543000000,234
m7gd.8xlarge,32,131072,1.7086000000,234
m7gd.large,2,8192,0.1068000000,29
m7gd.medium,1,4096,0.0534000000,8
m7gd.metal,64,262144,3.4171000000,737
m7gd.xlarge,4,16384,0.2136000000,58
m7i-flex.12xlarge,48,196608,2.2982400000,234
m7i-flex.16xlarge,64,262144,3.0643200000,737
m7i-flex.2xlarge,8,32768,0.3830400000,58
m7i-flex.4xlarge,16,65536,0.7660800000,234
m7i-flex.8xlarge,32,131072,1.5321600000,234
m7i-flex.large,2,8192,0.0957600000,29
m7i-flex.xlarge,4,16384,0.1915200000,58
m7i.12xlarge,48,196608,2.4192000000,234
m7i.16xlarge,64,262144,3.2256000000,737
m7i.24xlarge,96,393216,4.8384000000,737
m7i.2xlarge,8,32768,0.4032000000,58
m7i.48xlarge,192,786432,9.6768000000,737
m7i.4xlarge,16,65536,0.8064000000,234
m7i.8xlarge,32,131072,1.6128000000,234
m7i.large,2,8192,0.1008000000,29
m7i.metal-24xl,96,393216,4.8384000000,737
m7i.metal-48xl,192,786432,9.6768000000,737
m7i.xlarge,4,16384,0.2016000000,58
m8a.12xlarge,48,196608,2.9212800000,758
m8a.16xlarge,64,262144,3.8950400000,1010
m8a.24xlarge,96,393216,5.8425600000,1010
m8a.2xlarge,8,32768,0.4868800000,158
m8a.48xlarge,192,786432,11.6851200000,1514
m8a.4xlarge,16,65536,0.9737600000,314
m8a.8xlarge,32,131072,1.9475200000,392
m8a.large,2,8192,0.1217200000,59
m8a.medium,1,4096,0.0608600000,8
m8a.metal-24xl,96,393216,5.8425600000,1010
m8a.metal-48xl,192,786432,11.6851200000,1514
m8a.xlarge,4,16384,0.2434400000,78
m8azn.12xlarge,48,196608,4.9550400000,1010
m8azn.24xlarge,96,393216,9.9100800000,1010
m8azn.3xlarge,12,49152,1.2387600000,314
m8azn.6xlarge,24,98304,2.4775200000,314
m8azn.large,2,8192,0.2064600000,78
m8azn.medium,1,4096,0.1032300000,11
m8azn.metal-12xl,48,196608,4.9550400000,1010
m8azn.metal-24xl,96,393216,9.9100800000,1010
m8azn.xlarge,4,16384,0.4129200000,78
m8g.12xlarge,48,196608,2.1542400000,234
m8g.16xlarge,64,262144,2.8723200000,737
m8g.24xlarge,96,393216,4.3084800000,737
m8g.2xlarge,8,32768,0.3590400000,58
m8g.48xlarge,192,786432,8.6169600000,737
m8g.4xlarge,16,65536,0.7180800000,234
m8g.8xlarge,32,131072,1.4361600000,234
m8g.large,2,8192,0.0897600000,29
m8g.medium,1,4096,0.0448800000,8
m8g.metal-24xl,96,393216,4.3084800000,737
m8g.metal-48xl,192,786432,8.6169600000,737
m8g.xlarge,4,16384,0.1795200000,58
m8gb.12xlarge,48,196608,3.4920000000,350
m8gb.16xlarge,64,262144,4.6560000000,786
m8gb.24xlarge,96,393216,6.9840000000,1178
m8gb.2xlarge,8,32768,0.5820000000,58
m8gb.48xlarge,192,786432,13.9680000000,1178
m8gb.4xlarge,16,65536,1.1640000000,234
m8gb.8xlarge,32,131072,2.3280000000,292
m8gb.large,2,8192,0.1455000000,29
m8gb.medium,1,4096,0.0727500000,8
m8gb.xlarge,4,16384,0.2910000000,58
m8gd.12xlarge,48,196608,2.7676800000,234
m8gd.16xlarge,64,262144,3.6902400000,737
m8gd.24xlarge,96,393216,5.5353600000,737
m8gd.2xlarge,8,32768,0.4612800000,58
m8gd.48xlarge,192,786432,11.0707200000,737
m8gd.4xlarge,16,65536,0.9225600000,234
m8gd.8xlarge,32,131072,1.8451200000,234
m8gd.large,2,8192,0.1153200000,29
m8gd.medium,1,4096,0.0576600000,8
m8gd.metal-24xl,96,393216,5.5353600000,737
m8gd.metal-48xl,192,786432,11.0707200000,737
m8gd.xlarge,4,16384,0.2306400000,58
m8gn.12xlarge,48,196608,3.4920000000,350
m8gn.16xlarge,64,262144,4.6560000000,786
m8gn.24xlarge,96,393216,6.9840000000,1178
m8gn.2xlarge,8,32768,0.5820000000,58
m8gn.48xlarge,192,786432,13.9680000000,1178
m8gn.4xlarge,16,65536,1.1640000000,234
m8gn.8xlarge,32,131072,2.3280000000,292
m8gn.large,2,8192,0.1455000000,29
m8gn.medium,1,4096,0.0728000000,8
m8gn.xlarge,4,16384,0.2910000000,58
m8i-flex.12xlarge,48,196608,2.4132000000,590
m8i-flex.16xlarge,64,262144,3.2176000000,1010
m8i-flex.2xlarge,8,32768,0.4022000000,118
m8i-flex.4xlarge,16,65536,0.8044000000,394
m8i-flex.8xlarge,32,131072,1.6088000000,492
m8i-flex.large,2,8192,0.1005500000,59
m8i-flex.xlarge,4,16384,0.2011000000,118
m8i.12xlarge,48,196608,2.5401600000,590
m8i.16xlarge,64,262144,3.3868800000,1010
m8i.24xlarge,96,393216,5.0803200000,1010
m8i.2xlarge,8,32768,0.4233600000,118
m8i.32xlarge,128,524288,6.7737600000,1514
m8i.48xlarge,192,786432,10.1606400000,1514
m8i.4xlarge,16,65536,0.8467200000,394
m8i.8xlarge,32,131072,1.6934400000,492
m8i.96xlarge,384,1572864,20.3212800000,1514
m8i.large,2,8192,0.1058400000,59
m8i.metal-48xl,192,786432,10.1606400000,1514
m8i.metal-96xl,384,1572864,20.3212800000,1514
m8i.xlarge,4,16384,0.2116800000,118
m8ib.12xlarge,48,196608,4.0099200000,590
m8ib.16xlarge,64,262144,5.3465600000,1010
m8ib.24xlarge,96,393216,8.0198400000,1010
m8ib.2xlarge,8,32768,0.6683200000,118
m8ib.32xlarge,128,524288,10.6931200000,1010
m8ib.48xlarge,192,786432,16.0396800000,1514
m8ib.4xlarge,16,65536,1.3366400000,394
m8ib.8xlarge,32,131072,2.6732800000,394
m8ib.96xlarge,384,1572864,32.0793600000,1514
m8ib.large,2,8192,0.1670800000,78
m8ib.xlarge,4,16384,0.3341600000,118
m8id.12xlarge,48,196608,3.1324800000,590
m8id.16xlarge,64,262144,4.1766400000,1010
m8id.24xlarge,96,393216,6.2649600000,1010
m8id.2xlarge,8,32768,0.5220800000,118
m8id.32xlarge,128,524288,8.3532800000,1514
m8id.48xlarge,192,786432,12.5299200000,1514
m8id.4xlarge,16,65536,1.0441600000,394
m8id.8xlarge,32,131072,2.0883200000,492
m8id.96xlarge,384,1572864,25.0598400000,1514
m8id.large,2,8192,0.1305200000,59
m8id.metal-48xl,192,786432,12.5299200000,1514
m8id.metal-96xl,384,1572864,25.0598400000,1514
m8id.xlarge,4,16384,0.2610400000,118
m8idb.12xlarge,48,196608,4.5825600000,590
m8idb.16xlarge,64,262144,6.1100800000,1010
m8idb.24xlarge,96,393216,9.1651200000,1010
m8idb.2xlarge,8,32768,0.7637600000,118
m8idb.32xlarge,128,524288,12.2201600000,1010
m8idb.48xlarge,192,786432,18.3302400000,1514
m8idb.4xlarge,16,65536,1.5275200000,394
m8idb.8xlarge,32,131072,3.0550400000,394
m8idb.96xlarge,384,1572864,36.6604800000,1514
m8idb.large,2,8192,0.1909400000,78
m8idb.xlarge,4,16384,0.3818800000,118
m8idn.12xlarge,48,196608,4.5825600000,590
m8idn.16xlarge,64,262144,6.1100800000,1010
m8idn.24xlarge,96,393216,9.1651200000,1010
m8idn.2xlarge,8,32768,0.7637600000,118
m8idn.32xlarge,128,524288,12.2201600000,1010
m8idn.48xlarge,192,786432,18.3302400000,1514
m8idn.4xlarge,16,65536,1.5275200000,394
m8idn.8xlarge,32,131072,3.0550400000,394
m8idn.96xlarge,384,1572864,36.6604800000,1514
m8idn.large,2,8192,0.1909400000,78
m8idn.metal-48xl,192,786432,18.3302400000,1514
m8idn.metal-96xl,384,1572864,36.6604800000,1514
m8idn.xlarge,4,16384,0.3818800000,118
m8in.12xlarge,48,196608,4.0099200000,590
m8in.16xlarge,64,262144,5.3465600000,1010
m8in.24xlarge,96,393216,8.0198400000,1010
m8in.2xlarge,8,32768,0.6683200000,118
m8in.32xlarge,128,524288,10.6931200000,1010
m8in.48xlarge,192,786432,16.0396800000,1514
m8in.4xlarge,16,65536,1.3366400000,394
m8in.8xlarge,32,131072,2.6732800000,394
m8in.96xlarge,384,1572864,32.0793600000,1514
m8in.large,2,8192,0.1670800000,78
m8in.xlarge,4,16384,0.3341600000,118
m8ine.12xlarge,48,196608,5.0124000000,590
m8ine.2xlarge,8,32768,0.8354000000,118
m8ine.4xlarge,16,65536,1.6708000000,394
m8ine.8xlarge,32,131072,3.3416000000,394
m8ine.large,2,8192,0.2088500000,78
m8ine.xlarge,4,16384,0.4177000000,118
m9g.12xlarge,48,196608,2.3481600000,590
m9g.16xlarge,64,262144,3.1308800000,1010
m9g.24xlarge,96,393216,4.6963200000,1514
m9g.2xlarge,8,32768,0.3913600000,118
m9g.48xlarge,192,786432,9.3926400000,1514
m9g.4xlarge,16,65536,0.7827200000,394
m9g.8xlarge,32,131072,1.5654400000,492
m9g.large,2,8192,0.0978400000,59
m9g.medium,1,4096,0.0489200000,40
m9g.metal-48xl,192,786432,9.3926400000,1514
m9g.xlarge,4,16384,0.1956800000,118
m9gd.12xlarge,48,196608,3.0168000000,590
m9gd.16xlarge,64,262144,4.0224000000,1010
m9gd.24xlarge,96,393216,6.0336000000,1514
m9gd.2xlarge,8,32768,0.5028000000,118
m9gd.48xlarge,192,786432,12.0672000000,1514
m9gd.4xlarge,16,65536,1.0056000000,394
m9gd.8xlarge,32,131072,2.0112000000,492
m9gd.large,2,8192,0.1257000000,59
m9gd.medium,1,4096,0.0628500000,40
m9gd.metal-48xl,192,786432,12.0672000000,1514
m9gd.xlarge,4,16384,0.2514000000,118
p3dn.24xlarge,96,786432,31.2120000000,737
p4d.24xlarge,96,1179648,21.9576400000,2942
p4de.24xlarge,96,1179648,27.4470500000,2942
p5.48xlarge,192,2097152,55.0400000000,3138
p5.4xlarge,16,262144,6.8800000000,118
p5en.48xlarge,192,2097152,63.2960000000,3138
p6-b200.48xlarge,192,2097152,113.9328000000,1570
p6-b300.48xlarge,192,4194304,142.4160000000,3334
r3.2xlarge,8,62464,0.6650000000,58
r3.4xlarge,16,124928,1.3300000000,234
r3.8xlarge,32,249856,2.6600000000,234
r3.large,2,15360,0.1660000000,29
r3.xlarge,4,31232,0.3330000000,58
r4.16xlarge,64,499712,4.2560000000,737
r4.2xlarge,8,62464,0.5320000000,58
r4.4xlarge,16,124928,1.0640000000,234
r4.8xlarge,32,249856,2.1280000000,234
r4.large,2,15616,0.1330000000,29
r4.xlarge,4,31232,0.2660000000,58
r5.12xlarge,48,393216,3.0240000000,234
r5.16xlarge,64,524288,4.0320000000,737
r5.24xlarge,96,786432,6.0480000000,737
r5.2xlarge,8,65536,0.5040000000,58
r5.4xlarge,16,131072,1.0080000000,234
r5.8xlarge,32,262144,2.0160000000,234
r5.large,2,16384,0.1260000000,29
r5.metal,96,786432,6.0480000000,737
r5.xlarge,4,32768,0.2520000000,58
r5a.12xlarge,48,393216,2.7120000000,234
r5a.16xlarge,64,524288,3.6160000000,737
r5a.24xlarge,96,786432,5.4240000000,737
r5a.2xlarge,8,65536,0.4520000000,58
r5a.4xlarge,16,131072,0.9040000000,234
r5a.8xlarge,32,262144,1.8080000000,234
r5a.large,2,16384,0.1130000000,29
r5a.xlarge,4,32768,0.2260000000,58
r5ad.12xlarge,48,393216,3.1440000000,234
r5ad.16xlarge,64,524288,4.1920000000,737
r5ad.24xlarge,96,786432,6.2880000000,737
r5ad.2xlarge,8,65536,0.5240000000,58
r5ad.4xlarge,16,131072,1.0480000000,234
r5ad.8xlarge,32,262144,2.0960000000,234
r5ad.large,2,16384,0.1310000000,29
r5ad.xlarge,4,32768,0.2620000000,58
r5b.12xlarge,48,393216,3.5760000000,234
r5b.16xlarge,64,524288,4.7680000000,737
r5b.24xlarge,96,786432,7.1520000000,737
r5b.2xlarge,8,65536,0.5960000000,58
r5b.4xlarge,16,131072,1.1920000000,234
r5b.8xlarge,32,262144,2.3840000000,234
r5b.large,2,16384,0.1490000000,29
r5b.metal,96,786432,7.1520000000,737
r5b.xlarge,4,32768,0.2980000000,58
r5d.12xlarge,48,393216,3.4560000000,234
r5d.16xlarge,64,524288,4.6080000000,737
r5d.24xlarge,96,786432,6.9120000000,737
r5d.2xlarge,8,65536,0.5760000000,58
r5d.4xlarge,16,131072,1.1520000000,234
r5d.8xlarge,32,262144,2.3040000000,234
r5d.large,2,16384,0.1440000000,29
r5d.metal,96,786432,6.9120000000,737
r5d.xlarge,4,32768,0.2880000000,58
r5dn.12xlarge,48,393216,4.0080000000,234
r5dn.16xlarge,64,524288,5.3440000000,737
r5dn.24xlarge,96,786432,8.0160000000,737
r5dn.2xlarge,8,65536,0.6680000000,58
r5dn.4xlarge,16,131072,1.3360000000,234
r5dn.8xlarge,32,262144,2.6720000000,234
r5dn.large,2,16384,0.1670000000,29
r5dn.metal,96,786432,8.0160000000,737
r5dn.xlarge,4,32768,0.3340000000,58
r5n.12xlarge,48,393216,3.5760000000,234
r5n.16xlarge,64,524288,4.7680000000,737
r5n.24xlarge,96,786432,7.1520000000,737
r5n.2xlarge,8,65536,0.5960000000,58
r5n.4xlarge,16,131072,1.1920000000,234
r5n.8xlarge,32,262144,2.3840000000,234
r5n.large,2,16384,0.1490000000,29
r5n.metal,96,786432,7.1520000000,737
r5n.xlarge,4,32768,0.2980000000,58
r6a.12xlarge,48,393216,2.7216000000,234
r6a.16xlarge,64,524288,3.6288000000,737
r6a.24xlarge,96,786432,5.4432000000,737
r6a.2xlarge,8,65536,0.4536000000,58
r6a.32xlarge,128,1048576,7.2576000000,737
r6a.48xlarge,192,1572864,10.8864000000,737
r6a.4xlarge,16,131072,0.9072000000,234
r6a.8xlarge,32,262144,1.8144000000,234
r6a.large,2,16384,0.1134000000,29
r6a.metal,192,1572864,10.8864000000,737
r6a.xlarge,4,32768,0.2268000000,58
r6g.12xlarge,48,393216,2.4192000000,234
r6g.16xlarge,64,524288,3.2256000000,737
r6g.2xlarge,8,65536,0.4032000000,58
r6g.4xlarge,16,131072,0.8064000000,234
r6g.8xlarge,32,262144,1.6128000000,234
r6g.large,2,16384,0.1008000000,29
r6g.medium,1,8192,0.0504000000,8
r6g.metal,64,524288,3.2256000000,737
r6g.xlarge,4,32768,0.2016000000,58
r6gd.12xlarge,48,393216,2.7648000000,234
r6gd.16xlarge,64,524288,3.6864000000,737
r6gd.2xlarge,8,65536,0.4608000000,58
r6gd.4xlarge,16,131072,0.9216000000,234
r6gd.8xlarge,32,262144,1.8432000000,234
r6gd.large,2,16384,0.1152000000,29
r6gd.medium,1,8192,0.0576000000,8
r6gd.metal,64,524288,3.6864000000,737
r6gd.xlarge,4,32768,0.2304000000,58
r6i.12xlarge,48,393216,3.0240000000,234
r6i.16xlarge,64,524288,4.0320000000,737
r6i.24xlarge,96,786432,6.0480000000,737
r6i.2xlarge,8,65536,0.5040000000,58
r6i.32xlarge,128,1048576,8.0640000000,737
r6i.4xlarge,16,131072,1.0080000000,234
r6i.8xlarge,32,262144,2.0160000000,234
r6i.large,2,16384,0.1260000000,29
r6i.metal,128,1048576,8.0640000000,737
r6i.xlarge,4,32768,0.2520000000,58
r6id.12xlarge,48,393216,3.6288000000,234
r6id.16xlarge,64,524288,4.8384000000,737
r6id.24xlarge,96,786432,7.2576000000,737
r6id.2xlarge,8,65536,0.6048000000,58
r6id.32xlarge,128,1048576,9.6768000000,737
r6id.4xlarge,16,131072,1.2096000000,234
r6id.8xlarge,32,262144,2.4192000000,234
r6id.large,2,16384,0.1512000000,29
r6id.metal,128,1048576,9.6768000000,737
r6id.xlarge,4,32768,0.3024000000,58
r6idn.12xlarge,48,393216,4.6893600000,234
r6idn.16xlarge,64,524288,6.2524800000,737
r6idn.24xlarge,96,786432,9.3787200000,737
r6idn.2xlarge,8,65536,0.7815600000,58
r6idn.32xlarge,128,1048576,12.5049600000,786
r6idn.4xlarge,16,131072,1.5631200000,234
r6idn.8xlarge,32,262144,3.1262400000,234
r6idn.large,2,16384,0.1953900000,29
r6idn.metal,128,1048576,12.5049600000,786
r6idn.xlarge,4,32768,0.3907800000,58
r6in.12xlarge,48,393216,4.1839200000,234
r6in.16xlarge,64,524288,5.5785600000,737
r6in.24xlarge,96,786432,8.3678400000,737
r6in.2xlarge,8,65536,0.6973200000,58
r6in.32xlarge,128,1048576,11.1571200000,786
r6in.4xlarge,16,131072,1.3946400000,234
r6in.8xlarge,32,262144,2.7892800000,234
r6in.large,2,16384,0.1743300000,29
r6in.metal,128,1048576,11.1571200000,786
r6in.xlarge,4,32768,0.3486600000,58
r7a.12xlarge,48,393216,3.6516000000,234
r7a.16xlarge,64,524288,4.8688000000,737
r7a.24xlarge,96,786432,7.3032000000,737
r7a.2xlarge,8,65536,0.6086000000,58
r7a.32xlarge,128,1048576,9.7376000000,737
r7a.48xlarge,192,1572864,14.6064000000,737
r7a.4xlarge,16,131072,1.2172000000,234
r7a.8xlarge,32,262144,2.4344000000,234
r7a.large,2,16384,0.1521500000,29
r7a.medium,1,8192,0.0760800000,8
r7a.metal-48xl,192,1572864,14.6064000000,737
r7a.xlarge,4,32768,0.3043000000,58
r7g.12xlarge,48,393216,2.5704000000,234
r7g.16xlarge,64,524288,3.4272000000,737
r7g.2xlarge,8,65536,0.4284000000,58
r7g.4xlarge,16,131072,0.8568000000,234
r7g.8xlarge,32,262144,1.7136000000,234
r7g.large,2,16384,0.1071000000,29
r7g.medium,1,8192,0.0536000000,8
r7g.metal,64,524288,3.4272000000,737
r7g.xlarge,4,32768,0.2142000000,58
r7gd.12xlarge,48,393216,3.2659000000,234
r7gd.16xlarge,64,524288,4.3546000000,737
r7gd.2xlarge,8,65536,0.5443000000,58
r7gd.4xlarge,16,131072,1.0886000000,234
r7gd.8xlarge,32,262144,2.1773000000,234
r7gd.large,2,16384,0.1361000000,29
r7gd.medium,1,8192,0.0680000000,8
r7gd.metal,64,524288,4.3546000000,737
r7gd.xlarge,4,32768,0.2722000000,58
r7i.12xlarge,48,393216,3.1752000000,234
r7i.16xlarge,64,524288,4.2336000000,737
r7i.24xlarge,96,786432,6.3504000000,737
r7i.2xlarge,8,65536,0.5292000000,58
r7i.48xlarge,192,1572864,12.7008000000,737
r7i.4xlarge,16,131072,1.0584000000,234
r7i.8xlarge,32,262144,2.1168000000,234
r7i.large,2,16384,0.1323000000,29
r7i.metal-24xl,96,786432,6.3504000000,737
r7i.metal-48xl,192,1572864,12.7008000000,737
r7i.xlarge,4,32768,0.2646000000,58
r7iz.12xlarge,48,393216,4.4640000000,234
r7iz.16xlarge,64,524288,5.9520000000,737
r7iz.2xlarge,8,65536,0.7440000000,58
r7iz.32xlarge,128,1048576,11.9040000000,737
r7iz.4xlarge,16,131072,1.4880000000,234
r7iz.8xlarge,32,262144,2.9760000000,234
r7iz.large,2,16384,0.1860000000,29
r7iz.metal-16xl,64,524288,5.9520000000,737
r7iz.metal-32xl,128,1048576,11.9040000000,737
r7iz.xlarge,4,32768,0.3720000000,58
r8a.12xlarge,48,393216,3.8342400000,758
r8a.16xlarge,64,524288,5.1123200000,1010
r8a.24xlarge,96,786432,7.6684800000,1010
r8a.2xlarge,8,65536,0.6390400000,158
r8a.48xlarge,192,1572864,15.3369600000,1514
r8a.4xlarge,16,131072,1.2780800000,314
r8a.8xlarge,32,262144,2.5561600000,392
r8a.large,2,16384,0.1597600000,59
r8a.medium,1,8192,0.0798800000,8
r8a.metal-24xl,96,786432,7.6684800000,1010
r8a.metal-48xl,192,1572864,15.3369600000,1514
r8a.xlarge,4,32768,0.3195200000,78
r8g.12xlarge,48,393216,2.8276800000,234
r8g.16xlarge,64,524288,3.7702400000,737
r8g.24xlarge,96,786432,5.6553600000,737
r8g.2xlarge,8,65536,0.4712800000,58
r8g.48xlarge,192,1572864,11.3107200000,737
r8g.4xlarge,16,131072,0.9425600000,234
r8g.8xlarge,32,262144,1.8851200000,234
r8g.large,2,16384,0.1178200000,29
r8g.medium,1,8192,0.0589100000,8
r8g.metal-24xl,96,786432,5.6553600000,737
r8g.metal-48xl,192,1572864,11.3107200000,737
r8g.xlarge,4,32768,0.2356400000,58
r8gb.12xlarge,48,393216,4.3723200000,350
r8gb.16xlarge,64,524288,5.8297600000,786
r8gb.24xlarge,96,786432,8.7446400000,1178
r8gb.2xlarge,8,65536,0.7287200000,58
r8gb.48xlarge,192,1572864,17.4892800000,1178
r8gb.4xlarge,16,131072,1.4574400000,234
r8gb.8xlarge,32,262144,2.9148800000,292
r8gb.large,2,16384,0.1821800000,29
r8gb.medium,1,8192,0.0910900000,8
r8gb.xlarge,4,32768,0.3643600000,58
r8gd.12xlarge,48,393216,3.5270400000,234
r8gd.16xlarge,64,524288,4.7027200000,737
r8gd.24xlarge,96,786432,7.0540800000,737
r8gd.2xlarge,8,65536,0.5878400000,58
r8gd.48xlarge,192,1572864,14.1081600000,737
r8gd.4xlarge,16,131072,1.1756800000,234
r8gd.8xlarge,32,262144,2.3513600000,234
r8gd.large,2,16384,0.1469600000,29
r8gd.medium,1,8192,0.0734800000,8
r8gd.metal-24xl,96,786432,7.0540800000,737
r8gd.metal-48xl,192,1572864,14.1081600000,737
r8gd.xlarge,4,32768,0.2939200000,58
r8gn.12xlarge,48,393216,4.3723000000,350
r8gn.16xlarge,64,524288,5.8298000000,786
r8gn.24xlarge,96,786432,8.7446000000,1178
r8gn.2xlarge,8,65536,0.7287000000,58
r8gn.48xlarge,192,1572864,17.4893000000,1178
r8gn.4xlarge,16,131072,1.4574000000,234
r8gn.8xlarge,32,262144,2.9149000000,292
r8gn.large,2,16384,0.1822000000,29
r8gn.medium,1,8192,0.0911000000,8
r8gn.xlarge,4,32768,0.3644000000,58
r8i-flex.12xlarge,48,393216,3.1672800000,590
r8i-flex.16xlarge,64,524288,4.2230400000,1010
r8i-flex.2xlarge,8,65536,0.5278800000,118
r8i-flex.4xlarge,16,131072,1.0557600000,394
r8i-flex.8xlarge,32,262144,2.1115200000,492
r8i-flex.large,2,16384,0.1319700000,59
r8i-flex.xlarge,4,32768,0.2639400000,118
r8i.12xlarge,48,393216,3.3340800000,590
r8i.16xlarge,64,524288,4.4454400000,1010
r8i.24xlarge,96,786432,6.6681600000,1010
r8i.2xlarge,8,65536,0.5556800000,118
r8i.32xlarge,128,1048576,8.8908800000,1514
r8i.48xlarge,192,1572864,13.3363200000,1514
r8i.4xlarge,16,131072,1.1113600000,394
r8i.8xlarge,32,262144,2.2227200000,492
r8i.96xlarge,384,3145728,26.6726400000,1514
r8i.large,2,16384,0.1389200000,59
r8i.metal-48xl,192,1572864,13.3363200000,1514
r8i.metal-96xl,384,3145728,26.6726400000,1514
r8i.xlarge,4,32768,0.2778400000,118
r8ib.12xlarge,48,393216,5.0208000000,590
r8ib.16xlarge,64,524288,6.6944000000,1010
r8ib.24xlarge,96,786432,10.0416000000,1010
r8ib.2xlarge,8,65536,0.8368000000,118
r8ib.32xlarge,128,1048576,13.3888000000,1010
r8ib.48xlarge,192,1572864,20.0832000000,1514
r8ib.4xlarge,16,131072,1.6736000000,394
r8ib.8xlarge,32,262144,3.3472000000,394
r8ib.96xlarge,384,3145728,40.1664000000,1514
r8ib.large,2,16384,0.2092000000,78
r8ib.xlarge,4,32768,0.4184000000,118
r8id.12xlarge,48,393216,3.9916800000,590
r8id.16xlarge,64,524288,5.3222400000,1010
r8id.24xlarge,96,786432,7.9833600000,1010
r8id.2xlarge,8,65536,0.6652800000,118
r8id.32xlarge,128,1048576,10.6444800000,1514
r8id.48xlarge,192,1572864,15.9667200000,1514
r8id.4xlarge,16,131072,1.3305600000,394
r8id.8xlarge,32,262144,2.6611200000,492
r8id.96xlarge,384,3145728,31.9334400000,1514
r8id.large,2,16384,0.1663200000,59
r8id.metal-48xl,192,1572864,15.9667200000,1514
r8id.metal-96xl,384,3145728,31.9334400000,1514
r8id.xlarge,4,32768,0.3326400000,118
r8idb.12xlarge,48,393216,5.6272800000,590
r8idb.16xlarge,64,524288,7.5030400000,1010
